INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe SVG Viewer 3.0', 'version': ' 3.0', 'vendor': ''}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe SVG Viewer 3.0 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Anaconda3 2020.02 (Python 3.7.6 64-bit)', 'version': '2020.02', 'vendor': 'Anaconda, Inc.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Anaconda3 2020.02 (Python 3.7.6 64-bit) has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Android Studio', 'version': '3.3', 'vendor': 'Google LLC'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Android Studio has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Apple 应用程序支持', 'version': '2.3.4', 'vendor': 'Apple Inc.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Apple 应用程序支持 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Apple Mobile Device Support', 'version': '6.1.0.13', 'vendor': 'Apple Inc.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Apple Mobile Device Support has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Apple Software Update', 'version': '2.1.3.127', 'vendor': 'Apple Inc.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Apple Software Update has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'AWS Command Line Interface', 'version': '1.16.240', 'vendor': 'Amazon Web Services Developer Relations'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - AWS Command Line Interface has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Baidu IME 3.6', 'version': '3.6', 'vendor': 'Baidu Japan Inc.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Baidu IME 3.6 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Bandizip', 'version': '7.01', 'vendor': 'Bandisoft.com'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Bandizip has a record
